URL;Image;Retailer;Brand;Product Name;Caliber;Price
/p/magtech/9-mm-luger-teilmantel-8-0g-124grs/144808?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144808_ha_v1.jpg;Frankonia;Magtech;9 mm Luger Teilmantel 8,0g/124grs.;9mm Luger;21,70
/p/magtech/9-mm-luger-teilmantel-flachkopf-6-2g-95grs/145456?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p145456_ha_v1.jpg;Frankonia;Magtech;9 mm Luger Teilmantel Flachkopf 6,2g/95grs.;9mm Luger;20,99
/p/sellier-bellot/45-acp-jhp-14-9g-230grs/198134?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p198134_ha.jpg;Frankonia;Sellier & Bellot;.45 ACP JHP 14,9g/230grs.;.45 ACP;31,99
/p/sellier-bellot/9-mm-luger-zink-rundkopf-bleifrei-5-9g-91grs/194372?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p194372_ha_v1.jpg;Frankonia;Sellier & Bellot;9 mm Luger Zink Rundkopf bleifrei 5,9g/91grs.;9mm Luger;23,99
/p/magtech/9-mm-luger-clean-range-feb-8-0g-124grs/144900?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144900_ha_v1.jpg;Frankonia;Magtech;9 mm Luger Clean Range FEB 8,0g/124grs.;9mm Luger;22,40
/p/geco/38-special-vollmantel-flachkopf-10-2g-158grs/167225?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p167225_ha_v1.jpg;Frankonia;Geco;.38 Special Vollmantel Flachkopf 10,2g/158grs.;.38 Special;27,99
/p/geco/38-special-blei-rundkopf-10-2g-158grs/167226?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p167226_ha_v1.jpg;Frankonia;Geco;.38 Special Blei Rundkopf 10,2g/158grs.;.38 Special;23,99
/p/magtech/38-special-feb-flachkopf-clean-range-10-2g-158grs/144895?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144895_ha_v1.jpg;Frankonia;Magtech;.38 Special FEB Clean Range 10,2g/158grs.;.38 Special;28,99
/p/geco/45-acp-vollmantel-14-9g-230grs/65138?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p65138_ha.jpg;Frankonia;Geco;.45 ACP Vollmantel 14,9g/230grs.;.45 ACP;34,99
/p/geco/357-magnum-vollmantel-flachkopf-10-2g-158grs/167227?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p167227_ha_v1.jpg;Frankonia;Geco;.357 Magnum Vollmantel Flachkopf 10,2g/158grs.;.357 Magnum;27,99
/p/geco/9-mm-luger-hp-8-0g-124grs/196530?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p196530_ha_v1.jpg;Frankonia;Geco;9 mm Luger HP 8,0g/124grs.;9mm Luger;10,60
/p/sellier-bellot/357-mag-tfmj-nontox-10-2g-158grs/126122?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p126122_ha.jpg;Frankonia;Sellier & Bellot;.357 Mag. TFMJ NonTox 10,2g/158grs.;.357 Magnum;32,99
/p/magtech/38-special-vollmantel-flachkopf-10-2g-158grs/144847?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p144847_ha_v1.jpg;Frankonia;Magtech;.38 Special Vollmantel Flachkopf 10,2g/158grs.;.38 Special;25,99
/p/sellier-bellot/38-special-tfmj-nontox-10-2g-158grs/126123?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p126123_ha.jpg;Frankonia;Sellier & Bellot;.38 Special TFMJ NonTox 10,2g/158grs.;.38 Special;27,99
/p/magtech/38-special-p-jhp-bonded-8-0g-124grs/2001790?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p2001790_ha.jpg;Frankonia;Magtech;.38 Special+P JHP Bonded 8,0g/124grs.;.38 Special;28,99
/p/sellier-bellot/38-special-teilmantel-nontox-10-2g-158grs/122753?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p122753_ha.jpg;Frankonia;Sellier & Bellot;.38 Special Teilmantel NonTox 10,2g/158grs.;.38 Special;28,99
/p/geco/45-acp-blei-rk-verkupfert-sx-14-9g-230grs/196529?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p196529_ha_v1.jpg;Frankonia;Geco;.45 ACP Blei RK verkupfert SX, 14,9g/230grs;.45 ACP;31,99
/p/magtech/9-mm-luger-jhp-bonded-8-0g-124grs/193432?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p193432_ha.jpg;Frankonia;Magtech;9 mm Luger JHP Bonded 8,0g/124grs.;9mm Luger;26,50
/p/geco/45-acp-hohlspitz-14-9g-230grs/167241?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p167241_ha_v2.jpg;Frankonia;Geco;.45 ACP Hohlspitz 14,9g/230grs.;.45 ACP;36,99
/p/geco/38-special-blei-wadcutter-9-59g-148grs/64183?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p64183_ha_v1.jpg;Frankonia;Geco;.38 Special Blei Wadcutter 9,59g/148grs.;.38 Special;24,99
/p/sellier-bellot/9-mm-luger-vollmantel-subsonic-9-7g-150grs/176783?page=1&navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p176783_ha.jpg;Frankonia;Sellier & Bellot;9 mm Luger Vollmantel Subsonic 9,7g/150grs.;9mm Luger;19,60
